2017-03-02 17:13:32.528 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:32.570 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:32.601 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:32.621 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:43.128 INFO  DefaultFactory Logging to 'C:\Users\dwoodford\Documents\Visual Studio 2015\Projects\EncoreMessageReceiverService\MVCMessagingTest\App_Data\' with level Info
2017-03-02 17:13:43.264 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2/23/2017.
2017-03-02 17:13:43.315 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'MOTIVACTION\dwoodford' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "MOTIVACTION\dwoodford" /add
2017-03-02 17:13:43.405 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:43.432 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:13:43.453 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:13:43.474 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:13:43.500 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:43.523 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:43.544 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:13:43.567 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:16:40.781 INFO  DefaultFactory Logging to 'C:\Users\dwoodford\Documents\Visual Studio 2015\Projects\EncoreMessageReceiverService\MVCMessagingTest\App_Data\' with level Info
2017-03-02 17:16:40.937 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2/23/2017.
2017-03-02 17:16:41.002 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'MOTIVACTION\dwoodford' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "MOTIVACTION\dwoodford" /add
2017-03-02 17:16:41.084 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
